"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
402450,"Новолитовская, 15",Санкт-Петербург,1328,303,Универсальное помещение,https://spb.n1.ru/view/116318023/?open_card_kn
104491,"Парашютная, 77 корп. 1",Санкт-Петербург,2700,38,Универсальное помещение,https://spb.n1.ru/view/115973208/?open_card_kn
116800,"Наставников проспект, 47 корп. 1",Санкт-Петербург,1600,73,Универсальное помещение,https://spb.n1.ru/view/115617044/?open_card_kn
1200000,"Владимирский проспект, 23",Санкт-Петербург,2159,555,Универсальное помещение,https://spb.n1.ru/view/113498269/?open_card_kn
299000,"Садовая, 88",Санкт-Петербург,1758,170,Универсальное помещение,https://spb.n1.ru/view/115273288/?open_card_kn
200000,"проспект Большой Васильевского острова, 47",Санкт-Петербург,2000,100,Универсальное помещение,https://spb.n1.ru/view/114936593/?open_card_kn
400000,"Караванная, 24",Санкт-Петербург,4123,97,Универсальное помещение,https://spb.n1.ru/view/114936587/?open_card_kn
220000,"Караваевская, 24 корп. 1",Санкт-Петербург,1089,202,Универсальное помещение,https://spb.n1.ru/view/116315652/?open_card_kn
340000,"Ивановская, 13",Санкт-Петербург,1789,190,Универсальное помещение,https://spb.n1.ru/view/114545723/?open_card_kn
88000,"Ветеранов проспект, 133 корп. 1",Санкт-Петербург,1600,55,Универсальное помещение,https://spb.n1.ru/view/115970332/?open_card_kn
150000,"Обуховской Обороны проспект, 93",Санкт-Петербург,1879,79,Универсальное помещение,https://spb.n1.ru/view/115272373/?open_card_kn
720000,"Рубинштейна, 9/3",Санкт-Петербург,4500,160,Универсальное помещение,https://spb.n1.ru/view/115970221/?open_card_kn
270000,"Лиговский проспект, 25",Санкт-Петербург,3461,78,Универсальное помещение,https://spb.n1.ru/view/115970217/?open_card_kn
100000,"Помяловского, 3",Санкт-Петербург,3333,30,Универсальное помещение,https://spb.n1.ru/view/115272372/?open_card_kn
