color,full_name,id,name,route_type,subtype,type,point.lat,point.lon,city
#758190,"Москва, Отрадное",4504385606390699,Отрадное,metro,metro,station,55.863373,37.604774,Москва
#78C800,"Москва, Селигерская",70030076158836797,Селигерская,metro,metro,station,55.86657,37.547152,Москва
#78C800,"Москва, Яхромская",70030076661221553,Яхромская,metro,metro,station,55.879737,37.545519,Москва
#E15D29,"Москва, Грачёвская",4504385606390426,Грачёвская,mcd,railway,station,55.869782,37.509511,Москва
#ED9F2E,"Москва, Бескудниково",70030076195132727,Бескудниково,mcd,railway,station,55.882687,37.567792,Москва
#E15D29,"Москва, Моссельмаш",4504385606390423,Моссельмаш,mcd,railway,station,55.86201,37.527738,Москва
#ED9F2E,"Москва, Дегунино",70030076195132751,Дегунино,mcd,railway,station,55.865776,37.573178,Москва
#EA6A00,"Москва, Бабушкинская",4504385606387900,Бабушкинская,metro,metro,station,55.869505,37.664082,Москва
#758190,"Москва, Бибирево",4504385606388529,Бибирево,metro,metro,station,55.883891,37.603462,Москва
#78C800,"Москва, Лианозово",70030076661222296,Лианозово,metro,metro,station,55.898374,37.544747,Москва
#ED9F2E,"Москва, Лианозово",70030076195132698,Лианозово,mcd,railway,station,55.898884,37.54902,Москва
#ED9F2E,"Москва, Марк",70030076195132687,Марк,mcd,railway,station,55.904655,37.538272,Москва
#758190,"Москва, Алтуфьево",4504385606387164,Алтуфьево,metro,metro,station,55.897928,37.587328,Москва
#EA6A00,"Москва, Медведково",4504385606387187,Медведково,metro,metro,station,55.886939,37.661483,Москва
#E15D29,"Москва, Молжаниново",4504385606390431,Молжаниново,mcd,railway,station,55.924589,37.380428,Москва
#E15D29,"Москва, Новоподрезково",4504385606390432,Новоподрезково,mcd,railway,station,55.936368,37.352572,Москва
#78C800,"Москва, Физтех",70030076661222781,Физтех,metro,metro,station,55.921473,37.546506,Москва
